word,score,defs,defHeadword,level,hint,master_id
turki,161,"adj	Of or relating to ????? languages, especially those of Central Asia, or the peoples speaking them.",,Walk in the park,1,1
terni,89,"n	A province of Umbria, Italy.
n	The capital city of the province of ?????, Umbria, Italy.",,Wee bit of a challenge,1,1
tarai,24,n	Alternative form of ?????,,Tough nut to crack,1,1
tardi,5,"n	Alternative form of ?????
n	The time machine and spacecraft used by the Doctor in the British sci-fi television series Doctor Who, which is larger on the inside than its exterior (that of a British police box) suggests, or any of the conceptually similar time machines used by other members of the Doctor's race, the Time Lords.
n	Alternative form of ????? (something which resembles the bigger-on-the-inside time machine from the series Doctor Who).
n	Alternative form of ????? (time machine from the series Doctor Who which is larger on the inside than the outside).
n	Something which resembles such a machine, either in that it travels through time or in that its interior is or appears to be larger (or more full of information or things) than its exterior suggested.",tardis,Tough nut to crack,1,1
ennui,2404,v	(transitive) To make bored or listless; to weary.,,Walk in the park,2,1
emiri,26,"n	An ?????; a person from United Arab Emirates or of ????? descent.
adj	Of or relating to the United Arab Emirates or its people.",,Wee bit of a challenge,2,1
egoli,21,"n	Synonym of Johannesburg: A city in Gauteng, South Africa",,Tough nut to crack,2,1
ecchi,15,"adj	(of Japanese animation) Erotic, lascivious, lewd, naughty, sexy, suggestive.
n	(uncountable) A genre, especially of anime and manga, featuring playful, tongue-in-cheek usage of sexualized imagery and situations such as double entendre or flirtation, while remaining non-pornographic. Often used to differentiate from hentai which features overt sexual themes.
n	(rare, countable, chiefly proscribed by fandom slang) A situation within a story, especially anime and manga, which ventures into the ????? genre.",,Tough nut to crack,2,1
flaps,234,adj	Fitted with a ?????.,flapped,Walk in the park,3,1
flops,226,n	(computing) Synonym of ?????.,,Walk in the park,3,1
frape,213,"n	(obsolete) A crowd, a rabble.
n	(Internet slang) An act of using another person's Facebook account to post derogatory messages.
v	(Internet slang) To hijack, and meddle with, someone's Facebook account while it is unattended.",,Walk in the park,3,1
flips,90,"adj	A mild intensifier.
adv	(euphemistic, chiefly Britain) Fucking; used as an intensifier to modify verbs, adjectives, and other adverbs
n	The practice of buying real estate, making improvements to it, and reselling it for a higher price.",flipping,Wee bit of a challenge,3,1
flipe,71,"n	Alternative form of ????? (a fold or flap)
v	Alternative form of ?????",,Wee bit of a challenge,3,1
flype,65,"n	A fold or flap, especially of the brim of a hat
n	(mathematics) A transformation of a knot involving a 180° rotation of a tangle
v	(Scotland, dated, transitive) To turn inside out, or with the leg part back over the foot, as when putting on or taking off a stocking.",,Tough nut to crack,3,1
frapp,55,"n	(nautical, usually in the plural) Rope lashed tightly over the rigging or other area.",frapping,Tough nut to crack,3,1
flipp,12,"adj	A mild intensifier.
adv	(euphemistic, chiefly Britain) Fucking; used as an intensifier to modify verbs, adjectives, and other adverbs
n	The practice of buying real estate, making improvements to it, and reselling it for a higher price.",flipping,Tough nut to crack,3,1
elder,1577,v	(Quakerism) To admonish or reprove for improper conduct by the ????? of the meeting.,,Walk in the park,4,1
ended,440,"n	(MLE, MTE) The area in close proximity to one's home; neighbourhood.
n	(slang) Money.",ends,Walk in the park,4,1
emden,153,"n	An independent city in Lower Saxony, Germany
n	A German breed of domestic goose.",,Walk in the park,4,1
edder,123,"n	Flexible wood worked into the top of hedge stakes, to bind them together.
v	(obsolete) To bind the top interweaving edder.
n	An ????? or snake.
n	(rare, dialect or obsolete) A blood vessel.",,Walk in the park,4,1
eddic,51,"adj	Of or pertaining to the Edda (collection of Old Norse literature).
adj	Alternative letter-case form of ?????",,Wee bit of a challenge,4,1
esdra,23,n	(biblical) any of four books of the Old Testament and Apocrypha of the Bible.,esdras,Wee bit of a challenge,4,1
end in,19,v	To have at the ??????; to have as its termination.,,Wee bit of a challenge,4,1
eldar,16,"n	(fantasy) An elf, one of a particular group of elves, or an elflike creature.",,Wee bit of a challenge,4,1
endur,13,n	endurance,enduring,Tough nut to crack,4,1
e-day,9,"n	The ????? on which the euro became the official currency in much of Europe — 1st January 2002.
n	Election ?????.",,Tough nut to crack,4,1
eddis,1,n	The motion of an eddy.,eddying,Tough nut to crack,4,1
eddoe,1,n	Alternative form of ?????,,Tough nut to crack,4,1
emended,168,"adj	Capable of being ???????, corrigible.",emendable,Walk in the park,1,2
eleidin,78,"n	(biology) A clear intracellular protein present in the stratum lucidum of the skin, a transformation product of keratohyalin.",,Walk in the park,1,2
emender,61,"adj	Capable of being ???????, corrigible.",emendable,Wee bit of a challenge,1,2
ereader,30,n	Alternative form of e-reader,,Wee bit of a challenge,1,2
etendue,11,"n	(optics) A conserved property of the light in an optical system which characterizes how ""spread out"" the light is in terms of angle and area: it is the product of its cross-sectional area (normal to the direction of propagation) and the solid angle it subtends.",,Tough nut to crack,1,2
exendin,3,n	(biochemistry) Any of a group of peptide agonists found in Gila monster venom.,,Tough nut to crack,1,2
loss,2310,v	(colloquial) Alternative spelling of ????,,Walk in the park,2,2
boss,1738,n	(architecture) A ????; a projecting element.,bossing,Walk in the park,2,2
moss,1629,"v	(intransitive) To become covered with ????.
v	(transitive) To cover (something) with ????.",,Walk in the park,2,2
toss,1363,"n	The motion of something that ????; a throwing or sudden rising and falling.
n	(mining) The process of washing ores by violent agitation in water, in order to separate the lighter or earthy particles; tozing.
n	A process for refining tin by dropping it through the air while melted.",tossing,Walk in the park,2,2
nous,1008,n	Alternative form of noh (“classical Japanese music drama”),nou,Walk in the park,2,2
dogs,841,"n	(slang, US) Feet, from rhyming slang dog's meat.
n	(usually with the) A greyhound racing event; the sport of greyhound racing.
n	(nautical) Fasteners securing a watertight hatch.",,Walk in the park,2,2
woes,809,adj	(obsolete) Woeful; sorrowful,woe,Walk in the park,2,2
cons,733,"n	(programming) A data structure in Lisp that is a pair of pointers, car and cdr, used mainly for lists.
v	(programming) To obtain a list from a ???? or a nesting of ????es; to prepend an element to a list by forming a ???? of that element and the list; to obtain a list from a smaller one by repeated application of such kind of prepending.",,Walk in the park,2,2
ross,731,"v	(US, dialect, transitive) To divest of the ????, or rough, scaly surface.",,Walk in the park,2,2
toes,622,n	light footwork,toeing,Walk in the park,2,2
lots,605,adv	(colloquial) A great deal; very much.,,Walk in the park,2,2
boys,568,n	(slang) The testicles.,,Walk in the park,2,2
tops,499,"adv	(informal) At the very most; as a maximum.
adj	(slang, dated) Great; excellent.
n	(darts) The uppermost field of a dartboard; the double-20 field",,Walk in the park,2,2
hoss,492,"n	(Southern US, slang) Pronunciation spelling of horse.
n	(Southern US, slang) A big, strong and respected or dependable person, usually a man; one who is large like a horse.
n	(Southern US, slang, often capitalized) Term of address for a man.
n	(Northwestern US, slang) A car.
n	Alternative letter-case form of ???? (Southern US term of address for a man).",,Walk in the park,2,2
hops,491,"v	transport-hiking, train-hiking
adj	(rare) Filled with or inspiring ????.",hoping,Walk in the park,2,2
goes,471,"v	(in combination) Attending or visiting (a stated event, place, etc.) habitually or regularly.
adj	Likely to continue; viable.
adj	Current, prevailing.
adj	(especially after a noun phrase with a superlative) Available.",going,Walk in the park,2,2
hoes,433,"n	The act of digging, weeding, etc. with a ????.",hoeing,Walk in the park,2,2
gods,400,"n	The highest platform, or upper circle, in an auditorium.
n	The occupants of the gallery of a theatre.",,Walk in the park,2,2
dots,395,"n	A punctuation mark consisting of three ????, indicating an omission of some text or a sentence which wasn't fully finished, an ellipsis.
n	Alternative form of dotty (“shotgun”)",,Walk in the park,2,2
joss,392,"v	(fandom slang, transitive) To invalidate a fan theory or original element of a fanwork through the introduction of new canon or retconning.",,Walk in the park,2,2
woss,325,v	Eye dialect spelling of was.,wos,Walk in the park,2,2
tons,319,n	Use of colour; ????.,toning,Walk in the park,2,2
foes,311,adj	(obsolete) Hostile.,foe,Walk in the park,2,2
jors,306,"n	(music) In Indian music, a formal section of composition in the long elaboration (alap) of a raga that forms the beginning of a performance.",jor,Walk in the park,2,2
pops,297,"n	(informal, usually as a form of address) Father, dad.
n	(informal, usually as a form of address, by extension) A man old enough to be the speaker's father.",,Walk in the park,2,2
tots,291,n	The act of totting or adding up; an addition.,totting,Walk in the park,2,2
sous,283,"n	Obsolete form of ???? (“French coin”).
n	Short for ????s-chef.",,Walk in the park,2,2
coos,269,adj	(slang) ????.,coo,Walk in the park,2,2
loos,268,"v	(now dialect, used with at, upon or infinitive) To urge on with cries of ???? or (figuratively) by other shouting or outcry.
v	(transitive) To beat in the card game lanter????.
v	To pay a penalty to the pool for breaking certain rules or failing to take a trick in lanter????.
v	(figuratively, now dialect) To pay any penalty to any community.",loo,Walk in the park,2,2
rods,257,"v	(construction) To reinforce concrete with metal ????.
v	(transitive) To furnish with ????, especially lightning ????.
v	(slang, vulgar, transitive) To penetrate sexually.
v	(slang) To hot ????.",rod,Walk in the park,2,2
cops,251,"n	(slang, with the) The police, considered as a group entity.
n	(UK, dialect) The connecting crook of a harrow.",,Walk in the park,2,2
boos,249,n	A disapproving exclamation by a member of an audience.,booing,Walk in the park,2,2
vows,245,adj	Undertaken in accordance with a ????; solemnly promised.,vowed,Walk in the park,2,2
bobs,233,"adj	(philately) Back-of-the-book; denoting those stamps in a catalogue that are not used for the payment of regular postage fees, and are displayed separately in the catalogue after that listing; the division between these two groups varies with the publisher.",bob,Walk in the park,2,2
bots,217,"v	(Britain, slang) To bugger.
v	(Australia, informal) To ask for and be given something with the direct intention of exploiting the thing’s usefulness, almost exclusively with cigarettes.
v	(video games) To use a ????, or automated program.",bot,Walk in the park,2,2
gobs,212,"v	To gather into a lump.
v	To spit, especially to spit phlegm.
v	(mining, intransitive) To pack away waste material in order to support the walls of the mine.",gob,Walk in the park,2,2
